,Unnamed: 0,similarity,sentence1,sentence2,label
0,0,contradiction,"Two male clowns, one in a plaid suit and the other in black, performing a musical number in a theater setting.",The clowns are in the dressing room.,0
1,1,contradiction,A man is playing music with a trumpet.,A man playing music with a guitar.,0
2,2,neutral,A man with a hard hat carries a tree branch.,The man with the hard hat had cut down a tree.,2
3,3,entailment,An old bearded man holding a fruit.,An elderly bearded man holding a piece of fruit in his hand.,1
4,4,contradiction,A man in a blue coat looks at his feet in a bazaar.,A man is looking up at the ceiling in a grocery store.,0
5,5,neutral,A blond woman wearing a green shirt and blue jeans walks away.,A woman walks away in anger.,2
6,6,entailment,A mom and son having fun at the lake during winter.`,The mom and son are a family.,1
7,7,entailment,A white female wearing white shorts and yellow top throws a stick in a nature scene.,A woman is wearing shorts,1
8,8,contradiction,A man in a white t-shirt sits holds a newborn baby with a small hat on.,The baby is flying a plane.,0
9,9,entailment,"An obese man dressed in only shorts, parking a red motor scooter",a person on a scooter,1
10,10,entailment,Some Japanese people enjoy a fireworks shows from a local street.,A group of people are standing outside at night.,1
11,11,entailment,Two cowboys in a pen with a big spotted cow that has a rope around it's middle.,There are two men.,1
12,12,neutral,A big black dog chases a big brown dog with a green object in his mouth while another big brown dog tags behind.,The dogs have collars on.,2
13,13,contradiction,A woman smiling while raising her right hand.,The grumpy man left the building.,0
14,14,neutral,Two women in flowered Asian garb pose and smile.,two women take a picture,2
15,15,neutral,A woman attempts to mini-golf while water pouring down from above interferes.,A woman on a date.,2
16,16,contradiction,A brown horse jumps through its paddock.,The horse is green,0
17,17,entailment,white bench looking out onto the ocean with dog.,A human looking out.,1
18,18,neutral,a large group of people in red uniforms are playing in a band.,The band is playing for a football game.,2
19,19,entailment,Two clowns speak into a microphone.,Two clowns talking.,1
20,20,entailment,A shirtless man wearing light blue shorts and a baseball cap stands at the front of a boat.,The man is sailing.,1
21,21,neutral,Three blond girls and two blond women are playing with a jump rope in the dirt.,There are people competing in the jump rope championship.,2
22,22,neutral,Two young boys play with a puzzle in a classroom.,Two friends are playing a puzzle at home with there parents,2
23,23,contradiction,A group stands in the distance while the sky casts interesting light on some clouds.,A group of people watching a movie.,0
24,24,contradiction,An outdoor cafe with people sitting while a man in white shirt is walking toward them.,A man is sitting at a table waiting for his date.,0
25,25,neutral,An asian man giving a speech.,An asian man stands outside and gives a speech to a group,2
26,26,entailment,A child in medieval clothes points at something on a table.,The child is watching something.,1
27,27,neutral,Two boys sand next to a drinking fountain in a park.,Two boys are waiting their turn for a drink.,2
28,28,neutral,A person walks through the snow wearing snowshoes with a fence in the background.,A man walks through heavy snow wearing green snowshoes in front of a wooden fence.,2
29,29,neutral,A man in a black cap and blue shirt is looking for gold.,The man is a professional gold miner.,2
30,30,neutral,A girl is standing in a field pushing up her hat with one finger and her hand is covering most of her face.,A girl is standing in a field pushing up her baseball hat with one finger and her hand is covering most of her face.,2
31,31,contradiction,A group of five men in uniform are posing for the camera.,The men are naked.,0
32,32,contradiction,These people are having a wrestling match.,People are wearing boxing gloves.,0
33,33,contradiction,The boy is jumping in the air.,The girl jumps in air to keep from stepping on a pebble.,0
34,34,neutral,A boy in a red poncho is reading while leaning on a pole.,A boy in a red poncho is reading The Hobbit while leaning on a pole.,2
35,35,neutral,A worker wearing a hazard cone on his head and holding a flare being photographed by two photographers as he leads a parade.,It is summer.,2
36,36,neutral,"A woman and three children, holding hands with each other, are crossing the street.",The woman is the mother of the three children.,2
37,37,entailment,A dark-skinned child blowing some bubbles using his mouth.,A child is blowing bubbles.,1
38,38,contradiction,Woman with stuffed animal display.,A woman is selling fruit.,0
39,39,entailment,There is a woman in a black jacket and sunglasses and a man in a white shirt with his back turned.,Two people of opposite genders are not facing each other.,1
40,40,contradiction,A group of people gather and holding different types of flags.,People are watching a parade while eating ice cream.,0
41,41,neutral,A technician readying his equipment.,The man is outside.,2
42,42,contradiction,A man crashing on the waves.,a man swimming at a peaceful lake,0
43,43,contradiction,A man holding a cellphone and a woman holding a shopping bag stand in front of a wall covered in street art.,A man doesn't own a cellphone.,0
44,44,neutral,Workers sell Coca Cola Products to customers.,The workers are selling Coca Cola Products to help raise sales.,2
45,45,neutral,Two people wearing hats are standing in a field tending to a crop.,The two people are men.,2
46,46,neutral,A native person doing a dance.,a native american performing a traditional dance,2
47,47,contradiction,"A young boy and a young girl ride a bicycle down a street, with dirt and small trees around them.",Two adults are walking along the pier.,0
48,48,entailment,A man on Rollerblades grinding down a concrete handrail.,A man doing tricks on a handrail.,1
49,49,entailment,A guy with glasses and a beard in a suit is surrounded by photographers.,A guy with glasses is and a beard is near cameras.,1
50,50,neutral,Several people dressed in brightly colored clothing are standing in a row.,A group of people are standing outside in a row.,2
51,51,entailment,Two men stop to talk near a sign outside.,Men are talking,1
52,52,neutral,A guy jumps off of rocks into the water.,A guy jumps 20 feet into the water.,2
53,53,contradiction,A young woman wearing sunglasses and several necklaces drinks from a bottle of water in an outdoor setting.,The woman is sitting on a couch at home.,0
54,54,neutral,Two Formula race cars on an Eni sponsored racetrack.,The cars are in the middle of a race.,2
55,55,neutral,Two young barefooted girls are climbing an old lava flow with their father and mother following close behind.,A family are climbing an old lava flow.,2
56,56,entailment,A kid are playing with leaves by the sidewalk.,A child is playing by the street.,1
57,57,contradiction,A young child in a blue flowery dress walks along a sidewalk near a gated wall.,A young child in a black spandex body suit walks along a sidewalk near a gated wall.,0
58,58,entailment,A tan dog jumping up at a woman in a skirt and a black and tan dog walking away.,There are animals near a woman.,1
59,59,contradiction,A young asian girl is sliding down a pole on outdoor playground equipment.,The girl is watching television.,0
60,60,neutral,A white-haired woman in cooking vegetables.,The vegetables being cooked are onions and peppers.,2
61,61,entailment,A young child is petting an animal.,A little boy is petting a dog.,1
62,62,contradiction,A man in a yellow shirt wearing a tool belt examines something on a roof on a clear day.,The man is riding his motorcycle to the park.,0
63,63,contradiction,One man in a vest and tie plants a kiss on the cheek of another happy man.,The men are in outer space.,0
64,64,entailment,"One man wearing a green jacket, blue jeans, boots and a gray cowboy hat standing beside a barn watching the sun",A person stands outside.,1
65,65,neutral,Group of men and women waiting for a bus.,Some people wait for a greyhound bus.,2
66,66,neutral,Two people hugging while two other people stare down on them.,The people are looking down on the hugging couple.,2
67,67,contradiction,a summer snowboarder going for an indy grab while jumping in the air.,The snowboarder performs a rail grind.,0
68,68,neutral,A white dog with a yellow toy in his mouth runs through a nature trail towards the camera.,Someone's dog is lost and traveling alone.,2
69,69,contradiction,Two blond-hair ladies are sitting on a park bench near a body of water.,Two ladies are at work in the cubicle farm hoping the day ends quickly.,0
70,70,contradiction,Bikers stopped on a road.,Men talking and riding bikes.,0
71,71,entailment,"A pensive young man of Indian descent, sitting on the ground resting against a tree, with other people engaged in conversation in the background.",A man is sitting and listening to the conversations.,1
72,72,neutral,"A couple on a beach, the woman is touching the man's face.",Two lovers are sharing an intimate moment on the beach.,2
73,73,neutral,A man and a woman are sharing a meal at an outside restaurant.,a man and a woman are on their first date,2
74,74,entailment,A crowd of people looking at something.,Crowd of people looking at something,1
75,75,neutral,Three people in costume walking on sidewalk.,Three people in costume are actors.,2
76,76,neutral,A band of women plays music on a brightly-bannered stage as a lone young woman with brown hair looks on.,There is a sad woman.,2
77,77,neutral,A cheerleading team is posing in a pyramid in front of a crowd of watchers.,A team of cheerleaders are together.,2
78,78,neutral,A youth standing nest to a metal fence with a black shirt on and a cigarette in their mouth.,child on a smoke break from working on the farm,2
79,79,contradiction,A shoe shiner waits for customers.,A person shining shoes.,0
80,80,neutral,A golden retriever is jumping off a wooden porch,A puppy leaps off the porch to play with a bone on the grass.,2
81,81,neutral,"An unknown man works a grill in a kitchen wearing a coca cola shirt, there is much types of food to be seen.",A coke fan has a barbecue for his friends.,2
82,82,entailment,A child smiling for a picture.,A child posing for a picture.,1
83,83,contradiction,A man wearing a plaid hat sits in a lawn chair reading a magazine,A woman wearing a plaid hat sits in a lawn chair reading a magazine,0
84,84,neutral,A guy riding a skateboard in front of a graffiti wall.,A teenager is riding his board and looking at a wall of graffiti,2
85,85,contradiction,"A boy wearing a bike helmet, jeans, and a striped shirt and a girl wearing a green shirt and jeans ride bikes with training wheels down a sidewalk.",Two dogs are sniffing bikes.,0
86,86,entailment,A girl and a guy sitting on the ground while the girl is blowing bubbles.,A girl is blowing bubbles.,1
87,87,contradiction,A man in all black carries a vegetable.,The man is sleeping.,0
88,88,entailment,"Several women running in a race, while the crowd looks on.",Several women running in a race,1
89,89,neutral,Two men playing rugby collide.,The men are wearing grey uniforms.,2
90,90,entailment,A guy in an olive-green sweater and blue jeans is playing with a blond-haired toddler in a yard using toy golf clubs.,A man and child are playing outside.,1
91,91,neutral,A young woman is posing on a mini-scooter while another woman sets up a camera in a park.,The photographer is being paid by the woman posing.,2
92,92,contradiction,A group of children have fun in sack race.,some childrens standing in a park,0
93,93,entailment,A golden retriever puppy stands in front of two people looking over a railing.,The people are standing near a puppy.,1
94,94,neutral,A basketball team of 8 girls is doing a hand huddle.,The basketball team of 8 girls are african american.,2
95,95,neutral,A woman and two girls dressed in pink.,Three people are at a dance.,2
96,96,entailment,Two men are cooking in the kitchen using rice milk.,Two guys cook using some rice milk.,1
97,97,neutral,"A man is preparing to tee off in golf, and there is a big crowd watching him.",The man is sweating from all the pressure.,2
98,98,contradiction,A woman slipping backwards in the snow.,the woman slips on a bug,0
99,99,entailment,A young girl with curly hair with a white shirt with a skull and bones picture on it.,A young girl has curly hair.,1
100,100,contradiction,"There is a man with a moustache, cap and backpack standing by a bridge that running crosses water.",Some ducks eat bread.,0
101,101,entailment,Two dogs playing or fighting in the snow.,The dogs are outside.,1
102,102,entailment,Two women are looking at a monitor with a long antenna.,Two people looked at a screen with an antenna.,1
103,103,contradiction,A dog standing outside is looking at the camera.,A cat is standing alone.,0
104,104,contradiction,"A young child wearing green shoes, red pants, a blue shirt, and a blue hat stands on top of a circle that is on a cracked piece of concrete.",A young child is not wearing a hat.,0
105,105,entailment,A man is sitting in the snow watching as a group of people are walking by.,A man in the snow watches a group of people walk by.,1
106,106,contradiction,A dog is licking a little girl's face.,Her face is dry.,0
107,107,entailment,A man and a woman holding a blue and green slushy on a busy street corner.,A man and woman hold a slushy.,1
108,108,neutral,A man in green walking down the beach while holding his shoes.,"A gentleman in a green sweatsuit strolling along the shore, holding his tennis shoes.",2
109,109,contradiction,People stand and watch from the grassy hill as an airplane soars close overhead.,People are swimming in a lake.,0
110,110,entailment,"A woman wearing a blue skirt, high heels, a white shirt, green jacket and headband is walking out of a tunnel.",The woman is walking outside.,1
111,111,entailment,A black woman peering through a telescope with several people in the background in the park.,A woman is looking through a telescope.,1
112,112,neutral,A band playing music together.,The band formed last year.,2
113,113,entailment,"An intimate setting with low lighting, draped doors and tables with small groups of men and women smiling and drinking.",There are more than 2 people.,1
114,114,neutral,Two people sitting in hats and shades.,Two people are sitting in the sun with hats and sunglasses on.,2
115,115,entailment,Two workers in uniform are standing next to some heavy machinery.,Two workers are standing by heavy machines,1
116,116,entailment,An attractive girl with a cigarette in one hand leaning over and showing lots of cleavage.,A pretty girl holds a cigarette,1
117,117,neutral,a old man in a white shirt is eating a bun.,A man eats his lunch.,2
118,118,entailment,A kid and man looking at animals from outside a fence.,Two people are looking at the same group of animals inside the fence.,1
119,119,neutral,A person in a yellow kayak is paddling through a river with snowy banks.,A person is in a race.,2
120,120,contradiction,A man and woman are in the kitchen and a package of Challenge butter is in the foreground.,A man and woman are not in the kitchen,0
121,121,neutral,This stone sculptor gently shaded seems to decorate a garden but here a young boy dressed in a US flag decorated t-shirt enjoys climbing on it.,The t-shirt is moldy.,2
122,122,entailment,A group of dancers takes their bows.,The dancers end their routine and bow towards the crowd.,1
123,123,entailment,Bride eating wedding cake from her new husband's shirt.,Bride eating wedding cake from her husband's shirt.,1
124,124,contradiction,Some young men racing on a beach.,The men are sleeping.,0
125,125,neutral,Two men take photographs on either side of their car.,two men have sports cars,2
126,126,contradiction,A man with glasses and black jacket stands as he sculpts a strange-shaped sculpture.,A man is painting a picture.,0
127,127,contradiction,A man in a striped shirt and two redheaded boys are posing for a picture outside.,A man in a solid white shirt and two black-haired boys pose for pictures inside.,0
128,128,entailment,Three women paddle their small boats along the river.,People riding on the river.,1
129,129,neutral,"A person is wearing a team uniform in blue and gold, seated on what is likely ice, with a goalie stick before him and the brand ""Reebok"" prominently displayed on uniform parts.",The hockey player fell down on the ice and lost control of his stick.,2
130,130,contradiction,A man is standing in a room in which various pots and crafts are scattered behind him with another man while a group of people enter the room behind him.,Woman in working with arts and crafts,0
131,131,contradiction,Three musicians are posing for a photograph in a soundproof studio booth.,The musicians are playing in a concert.,0
132,132,neutral,Woman in a pink shirt walking through the bushes.,A woman wearing a pink top looking for a lost pet in the bushes.,2
133,133,neutral,Woman holding a baby shopping for books,The woman is shopping for books for her baby.,2
134,134,contradiction,Girl with two ducks on cliff overlooking the water.,A dog smells his butt.,0
135,135,neutral,The two men calmly paddled the long boat in the sunset by the beach.,Some guys on a fishing trip.,2
136,136,contradiction,A man climbing a rock in a park.,A man pitching a tent in a park.,0
137,137,entailment,Students working in art class.,The students are indoors.,1
138,138,contradiction,"An art student uses a blue Sharpie to create a pattern on thick, white poster board.",A student knits a scarf.,0
139,139,entailment,a taxi cab with a mama mia ad on top of it,An automobile has an advertisement showing a popular play.,1
140,140,neutral,A group of men and women sit at laptop computers inside a coffee shop.,The group is drinking coffee.,2
141,141,neutral,An older man in an orange jacket is looking around.,An old man is looking around in the woods.,2
142,142,contradiction,A photographer is taking photos of flowers.,A photographer has decided to never take another photo.,0
143,143,contradiction,A man and a woman are spray painting a wall.,A man and woman is kissing.,0
144,144,contradiction,) (S (S (NP (PRP one)) (VP (VBZ is) (PP (IN in) (NP (DT a) (NN hole))))) (CC and) (S (NP (DT the) (JJ other) (CD two)) (VP (VBP are) (VP (VBG looking) (PP (IN at) (NP (NP (DT the) (NN man)) (VP (VBG standing) (PP (IN in) (NP (DT the) (NN hole)))))))))) (. .))),(ROOT (S (NP (CD Three) (NNS men)) (VP (VBP are) (VP (VBG standing) (PP (IN in) (NP (DT a) (NN hole))))) (. .))),0
145,145,contradiction,"Two girls, one with a pink flower in her hair, reading a letter sitting on a stone ledge.",The girls are in a car.,0
146,146,entailment,A mountain biker with a backpack crests a ridge.,The biker crested a ridge.,1
147,147,contradiction,This is an aged middle-eastern man looking to his right while wearing a white robe with gold embroidery.,Nobody is looking.,0
148,148,entailment,"A knight in full armor, including a protective, ventilated headpiece, rides his horse and carries his shield.","A knight in full armor, including a protective, ventilated headpiece, rides his horse",1
149,149,neutral,A man in a jumpsuit and a headband is docking a boat.,A man is attempting to steal a boat.,2
150,150,entailment,A man walks on the street.,A man is outdoors.,1
